Model,MAE,RMSE,MAPE,R2
Baseline (lag-7),50.97382916552666,93.09246325279733,3.787766386821001,0.6697541405003318
Linear Regression,32.68029706510094,54.256292418612716,2.469014350857044,0.8878217750991885
Random Forest,22.84373085514992,42.73500382153277,1.7293918075943764,0.930405353768896
XGBoost,22.108727609706317,39.21626298004165,1.665636372454609,0.9413941796088136
